,people,product_page_number,aw,buy,val12,val15,effort
8,17,Page1 8,-0.13817,0,0.3674,-0.73777,-0.12213
9,17,Page1 9,0.18114,0,0.0227,1.1033,0.88052
10,17,Page1 10,-0.20315,0,1.45162,-4.30443,0.01227
11,17,Page1 11,0.39097,0,0.47771,0.65463,0.37277
12,17,Page1 12,-0.13903,0,0.18402,-0.22042,-0.32239
13,17,Page1 13,0.4721,0,0.74032,-0.63283,0.34204
14,17,Page1 15,-0.07964,1,0.21244,-0.47992,-0.16562
15,17,Page1 16,-0.17522,0,0.24265,3.10031,0.28489
16,17,Page1 17,-0.05547,0,0.49586,-1.22926,0.29544
17,17,Page1 18,-0.42264,0,0.34062,-6.95203,0.29377
18,17,Page1 19,0.43097,1,1.60238,-0.07642,0.57485
